epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,491.237,0.47811,0.32465,0.76926,0.79745,0,0.9967,1,0.995,0.91438,0.9967,1,0.995,0.91141,0.41704,0.22883,1.00719,0.80949,0,0.0007724,0.0007724,0.0007724
64,498.935,0.42188,0.31242,0.85621,0.81511,0,0.99733,1,0.995,0.90927,0.99733,1,0.995,0.9048,0.39258,0.21934,0.94206,0.80681,0,0.0007526,0.0007526,0.0007526
65,507.206,0.44752,0.44363,0.74591,0.81974,0,0.99733,1,0.995,0.90927,0.99733,1,0.995,0.9048,0.39258,0.21934,0.94206,0.80681,0,0.0007328,0.0007328,0.0007328
66,515.18,0.42447,0.29551,0.65881,0.79459,0,0.99753,1,0.995,0.93871,0.99753,1,0.995,0.91061,0.3729,0.23385,0.93531,0.80649,0,0.000713,0.000713,0.000713
67,522.593,0.42914,0.30497,0.85838,0.80838,0,0.99753,1,0.995,0.93871,0.99753,1,0.995,0.91061,0.3729,0.23385,0.93531,0.80649,0,0.0006932,0.0006932,0.0006932
68,530.496,0.46095,0.30294,0.75396,0.76873,0,0.99761,1,0.995,0.95113,0.99761,1,0.995,0.90369,0.35372,0.2498,0.97895,0.80613,0,0.0006734,0.0006734,0.0006734
69,538.072,0.40727,0.30559,0.73075,0.82489,0,0.99761,1,0.995,0.95113,0.99761,1,0.995,0.90369,0.35372,0.2498,0.97895,0.80613,0,0.0006536,0.0006536,0.0006536
70,546.076,0.40885,0.25709,0.74237,0.77746,0,0.9977,1,0.995,0.95645,0.9977,1,0.995,0.88262,0.33737,0.23886,1.03229,0.80141,0,0.0006338,0.0006338,0.0006338
71,553.374,0.36935,0.25018,0.75868,0.84242,0,0.9977,1,0.995,0.95645,0.9977,1,0.995,0.88262,0.33737,0.23886,1.03229,0.80141,0,0.000614,0.000614,0.000614
72,560.984,0.36177,0.25982,0.78746,0.8028,0,0.99778,1,0.995,0.94304,0.99778,1,0.995,0.89936,0.30761,0.22928,1.0093,0.80105,0,0.0005942,0.0005942,0.0005942
